Route,Parity,BackendMounted,AuditResult,RegisterGapId
GET /v1/personal/moments/{}/relationships-bond-snapshot,BOTH,Y,PASS,SP-013
GET /v1/personal/moments/{}/relationships-connections,BOTH,Y,PASS,SP-013
GET /v1/personal/moments/{}/relationships-journey,BOTH,Y,PASS,SP-013
GET /v1/personal/moments/{}/relationships-runtime-summary,BOTH,Y,PASS,SP-013
GET /v1/personal/moments/{}/runtime-summary,BOTH,Y,PASS,SP-013
GET /v1/personal/pulse,BOTH,Y,PASS,SP-013
GET /v1/personal/setups,BOTH,Y,PASS,SP-013
GET /v1/polls/{},BOTH,Y,PASS,SP-013
PATCH /v1/companies/{},ANDROID_ONLY,Y,CLIENT_GAP,SP-013
PATCH /v1/companies/{}/locations/{},ANDROID_ONLY,Y,CLIENT_GAP,SP-013
PATCH /v1/companies/{}/vendors/{},ANDROID_ONLY,Y,CLIENT_GAP,SP-013
PATCH /v1/group/moments/{}/budget,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
PATCH /v1/me,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
PATCH /v1/moments/{},ANDROID_ONLY,Y,CLIENT_GAP,SP-013
PATCH /v1/moments/{}/expenses/{},ANDROID_ONLY,Y,CLIENT_GAP,SP-013
PATCH /v1/moments/{}/income/{},ANDROID_ONLY,Y,CLIENT_GAP,SP-013
PATCH /v1/moments/{}/lifestyle-activities/{},ANDROID_ONLY,Y,CLIENT_GAP,SP-013
PATCH /v1/moments/{}/recurring-schedules/{},ANDROID_ONLY,Y,CLIENT_GAP,SP-013
PATCH /v1/personal/moments/{}/future-profile,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
PATCH /v1/personal/moments/{}/life-ops-profile,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
PATCH /v1/personal/moments/{}/lifestyle-profile,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
PATCH /v1/personal/moments/{}/relationships-profile,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/ai/action-proposals/{}/execute,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/analytics/refresh,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/approvals/{}/decide,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/business/moments/{}/memories,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/business/moments/{}/share-link,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/business/setups/{}/activate,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/companies,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/companies/{}/locations,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/companies/{}/members,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/companies/{}/sla-definitions/{}/checks,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/companies/{}/teams,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/companies/{}/vendors,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/companies/{}/vendors/{}/contracts,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/companies/{}/vendors/{}/sla-definitions,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/company/invites,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/company/invites/{}/redeem,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/financial-accounts,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/group/invites,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/group/invites/{}/redeem,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/me/consents/grant,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/me/consents/withdraw,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/me/devices,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/media/uploads,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/media/uploads/{}/complete,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/activity-log-entries,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/approval-requests,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/archive,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/attendance,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/attention-captures,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/bookings,BOTH,Y,PASS,SP-013
POST /v1/moments/{}/budget-alerts,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/business-expenses,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/business-reviews,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/business-updates,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/cancel,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/contributions,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/decisions,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/delivery-handovers,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/expenses,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/expenses/{}/attachments,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/forecast-scenarios,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/future-items,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/goals,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/group-expenses,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/improvements,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/income,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/investor-updates,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/invoices,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/issues,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/issues/{}/evidence,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/life-ops-adjustments,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/lifestyle-activities,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/living-rules,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/maintenance-records,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/meeting-records,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/memories,BOTH,Y,PASS,SP-013
POST /v1/moments/{}/memories/{}/media,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/milestones,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/movements,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/observations,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/ownership-records,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/participants,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
POST /v1/moments/{}/planning-items,BOTH,Y,PASS,SP-013
POST /v1/moments/{}/polls,BOTH,Y,PASS,SP-013
POST /v1/moments/{}/purchase-items,BOTH,Y,PASS,SP-013
